,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
76,76,3,100,Random,2500,2500,800.0,800.0,0.0
77,77,3,100,Simultaneous,0,0,0.0,0.0,0.0
78,78,3,100,Simultaneous,250,0,11.17377049180328,0.0,11.17377049180328
79,79,3,100,Simultaneous,500,0,11.246927374301677,0.0,11.246927374301677
80,80,3,100,Simultaneous,750,21,749.0683885412463,0.0,749.0683885412463
81,81,3,100,Simultaneous,1000,0,175.69002611085781,0.0,175.69002611085781
82,82,3,100,Simultaneous,1250,2105,798.0,23.27225716845111,774.7277428315489
83,83,3,100,Simultaneous,1500,32,796.0,0.0,796.0
84,84,3,100,Simultaneous,1750,2117,800.0,38.95275020787717,761.0472497921228
85,85,3,100,Simultaneous,2000,2007,800.0,65.62075367033066,734.3792463296693
86,86,3,100,Simultaneous,2250,1956,800.0,27.384175048403986,772.615824951596
87,87,3,100,Simultaneous,2500,2500,800.0,800.0,0.0
88,88,4,100,Random,0,0,0.0,0.0,0.0
89,89,4,100,Random,250,2459,800.0,242.08192891012007,557.91807108988
90,90,4,100,Random,500,2450,800.0,282.0565917043935,517.9434082956066
91,91,4,100,Random,750,2439,800.0,345.4056626028136,454.5943373971864
92,92,4,100,Random,1000,0,46.07477654900773,0.0,46.07477654900773
93,93,4,100,Random,1250,2471,800.1687203791469,279.1943972327007,520.9743231464462
94,94,4,100,Random,1500,2470,796.0,250.60200097262845,545.3979990273715
95,95,4,100,Random,1750,0,52.2,0.0,52.2
96,96,4,100,Random,2000,0,50.09184656002485,0.0,50.09184656002485
97,97,4,100,Random,2250,2427,799.5146067415731,198.83834182746799,600.6762649141051
98,98,4,100,Random,2500,2500,800.0,800.0,0.0
99,99,4,100,Simultaneous,0,0,0.0,0.0,0.0
100,100,4,100,Simultaneous,250,0,11.189403973509936,0.0,11.189403973509936
101,101,4,100,Simultaneous,500,207,623.0,0.0,623.0
102,102,4,100,Simultaneous,750,0,11.92727272727273,0.0,11.92727272727273
103,103,4,100,Simultaneous,1000,12,653.0,0.0,653.0
104,104,4,100,Simultaneous,1250,0,88.95862068965518,0.0,88.95862068965518
105,105,4,100,Simultaneous,1500,2186,797.0,59.24727871307036,737.7527212869296
106,106,4,100,Simultaneous,1750,2129,800.0,6.0,794.0
107,107,4,100,Simultaneous,2000,2054,800.0,189.2078320091023,610.7921679908977
108,108,4,100,Simultaneous,2250,1911,800.0,66.82507403541386,733.1749259645861
109,109,4,100,Simultaneous,2500,2500,800.0,800.0,0.0
110,110,5,100,Random,0,0,0.0,0.0,0.0
111,111,5,100,Random,250,2457,800.0,372.77435897435896,427.22564102564104
112,112,5,100,Random,500,2458,800.0,349.7735634266933,450.2264365733067
113,113,5,100,Random,750,2492,796.0,406.2460444012888,389.7539555987112
114,114,5,100,Random,1000,2447,798.0,290.33886739655424,507.66113260344576
115,115,5,100,Random,1250,2427,800.0,250.5293390216437,549.4706609783564
116,116,5,100,Random,1500,2472,800.0,283.64208031935584,516.3579196806442
117,117,5,100,Random,1750,0,44.946883468834685,0.0,44.946883468834685
118,118,5,100,Random,2000,0,53.33934837092732,0.0,53.33934837092732
119,119,5,100,Random,2250,0,47.26327317157791,0.0,47.26327317157791
120,120,5,100,Random,2500,2500,800.0,800.0,0.0
121,121,5,100,Simultaneous,0,0,0.0,0.0,0.0
122,122,5,100,Simultaneous,250,0,48.72531492571119,0.0,48.72531492571119
123,123,5,100,Simultaneous,500,18,683.0,0.0,683.0
124,124,5,100,Simultaneous,750,24,788.0899105666933,0.0,788.0899105666933
125,125,5,100,Simultaneous,1000,0,144.313428258629,0.0,144.313428258629
126,126,5,100,Simultaneous,1250,40,797.0,0.0,797.0
127,127,5,100,Simultaneous,1500,2120,800.0,35.07967496246864,764.9203250375314
128,128,5,100,Simultaneous,1750,2106,800.0,127.62849563170371,672.3715043682963
129,129,5,100,Simultaneous,2000,1957,800.0,16.85464260192662,783.1453573980734
130,130,5,100,Simultaneous,2250,1943,800.0,59.572182417900315,740.4278175820997
131,131,5,100,Simultaneous,2500,2500,800.0,800.0,0.0
132,132,6,100,Random,0,0,0.0,0.0,0.0
133,133,6,100,Random,250,2481,800.0,433.38349427000867,366.61650572999133
134,134,6,100,Random,500,2495,796.0,469.4079093476185,326.5920906523815
135,135,6,100,Random,750,2419,800.0,254.2704361706235,545.7295638293765
136,136,6,100,Random,1000,2460,798.0,317.3442018019486,480.6557981980514
137,137,6,100,Random,1250,0,41.134448160535115,0.0,41.134448160535115
138,138,6,100,Random,1500,0,37.07735071777962,0.0,37.07735071777962
139,139,6,100,Random,1750,2455,796.0,258.7826939207605,537.2173060792395
140,140,6,100,Random,2000,2423,801.4804206309464,339.12494194693693,462.3554786840094
141,141,6,100,Random,2250,0,37.9605671795991,0.0,37.9605671795991
142,142,6,100,Random,2500,2500,800.0,800.0,0.0
143,143,6,100,Simultaneous,0,0,0.0,0.0,0.0
144,144,6,100,Simultaneous,250,0,11.210738255033558,0.0,11.210738255033558
145,145,6,100,Simultaneous,500,0,133.69230769230768,0.0,133.69230769230768
146,146,6,100,Simultaneous,750,15,694.5556804284009,0.0,694.5556804284009
147,147,6,100,Simultaneous,1000,0,45.667362046798075,0.0,45.667362046798075
148,148,6,100,Simultaneous,1250,53,798.0,0.0,798.0
